dataset,id,source,source_traditional,target,reason,review_status,provenance
phrases,PHR-2422,我想买数据线。,我想買數據線。,我想買數據線。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2424,我想换一个数据线。,我想換一個數據線。,我想換一個數據線。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2441,我想买电脑。,我想買電腦。,我想買電腦。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2443,我想换一个电脑。,我想換一個電腦。,我想換一個電腦。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2460,我想买平板电脑。,我想買平板電腦。,我想買平板電腦。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2462,我想换一个平板电脑。,我想換一個平板電腦。,我想換一個平板電腦。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2479,我想买相机。,我想買相機。,我想買相機。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2481,我想换一个相机。,我想換一個相機。,我想換一個相機。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2498,我想买手表。,我想買手錶。,我想買手錶。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2500,我想换一个手表。,我想換一個手錶。,我想換一個手錶。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2517,我想买眼镜。,我想買眼鏡。,我想買眼鏡。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2519,我想换一个眼镜。,我想換一個眼鏡。,我想換一個眼鏡。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2555,我想买行李箱。,我想買行李箱。,我想買行李箱。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2557,我想换一个行李箱。,我想換一個行李箱。,我想換一個行李箱。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2609,我想买毛巾。,我想買毛巾。,我想買毛巾。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2611,我想换一个毛巾。,我想換一個毛巾。,我想換一個毛巾。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2626,我想买牙刷。,我想買牙刷。,我想買牙刷。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2628,我想换一个牙刷。,我想換一個牙刷。,我想換一個牙刷。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2643,我想买牙膏。,我想買牙膏。,我想買牙膏。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2645,我想换一个牙膏。,我想換一個牙膏。,我想換一個牙膏。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2660,我想买纸巾。,我想買紙巾。,我想買紙巾。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2662,我想换一个纸巾。,我想換一個紙巾。,我想換一個紙巾。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2677,我想买口罩。,我想買口罩。,我想買口罩。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2679,我想换一个口罩。,我想換一個口罩。,我想換一個口罩。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2694,我想买药。,我想買藥。,我想買藥。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2696,我想换一个药。,我想換一個藥。,我想換一個藥。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2711,我想买地图。,我想買地圖。,我想買地圖。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2713,我想换一个地图。,我想換一個地圖。,我想換一個地圖。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2796,我想买书。,我想買書。,我想買書。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2798,我想换一个书。,我想換一個書。,我想換一個書。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2811,我想买笔。,我想買筆。,我想買筆。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2813,我想换一个笔。,我想換一個筆。,我想換一個筆。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2826,我想买礼物。,我想買禮物。,我想買禮物。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2828,我想换一个礼物。,我想換一個禮物。,我想換一個禮物。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2841,我想买花。,我想買花。,我想買花。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2843,我想换一个花。,我想換一個花。,我想換一個花。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2855,我想买电池。,我想買電池。,我想買電池。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2857,我想换一个电池。,我想換一個電池。,我想換一個電池。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2911,我想买八达通。,我想買八達通。,我想買八達通。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2913,我想换一个八达通。,我想換一個八達通。,我想換一個八達通。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3202,我要去机场。,我要去機場。,我要去機場。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3222,我要去火车站。,我要去火車站。,我要去火車站。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3302,我要去酒店。,我要去酒店。,我要去酒店。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3322,我要去餐厅。,我要去餐廳。,我要去餐廳。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3341,我要去商场。,我要去商場。,我要去商場。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3358,我要去超市。,我要去超市。,我要去超市。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3375,我要去便利店。,我要去便利店。,我要去便利店。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3392,我要去洗手间。,我要去洗手間。,我要去洗手間。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3409,我要去医院。,我要去醫院。,我要去醫院。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3426,我要去诊所。,我要去診所。,我要去診所。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3460,我要去银行。,我要去銀行。,我要去銀行。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3477,我要去公司。,我要去公司。,我要去公司。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3494,我要去办公室。,我要去辦公室。,我要去辦公室。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3511,我要去会议室。,我要去會議室。,我要去會議室。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3528,我要去学校。,我要去學校。,我要去學校。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3545,我要去教室。,我要去教室。,我要去教室。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3579,我要去楼下。,我要去樓下。,我要去樓下。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3596,我要去楼上。,我要去樓上。,我要去樓上。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3613,我要去门口。,我要去門口。,我要去門口。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3630,我要去停车场。,我要去停車場。,我要去停車場。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3664,我要去海关。,我要去海關。,我要去海關。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3673,我要去入境处。,我要去入境處。,我要去入境處。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3700,我要去码头。,我要去碼頭。,我要去碼頭。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3709,我要去海边。,我要去海邊。,我要去海邊。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3718,我要去市中心。,我要去市中心。,我要去市中心。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3726,我要去附近。,我要去附近。,我要去附近。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3979,我需要热水。,我需要熱水。,我需要熱水。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-3991,我需要毛巾。,我需要毛巾。,我需要毛巾。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4003,我需要牙刷。,我需要牙刷。,我需要牙刷。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4015,我需要拖鞋。,我需要拖鞋。,我需要拖鞋。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4053,我需要沐浴露。,我需要沐浴露。,我需要沐浴露。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4069,我需要枕头。,我需要枕頭。,我需要枕頭。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4176,文件有问题。,文件有問題。,文件有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4216,报告有问题。,報告有問題。,報告有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4236,表格有问题。,表格有問題。,表格有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4296,资料有问题。,資料有問題。,資料有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4316,数据有问题。,數據有問題。,數據有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4336,计划有问题。,計劃有問題。,計劃有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4356,方案有问题。,方案有問題。,方案有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4376,预算有问题。,預算有問題。,預算有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4396,报价有问题。,報價有問題。,報價有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4416,发票有问题。,發票有問題。,發票有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4436,收据有问题。,收據有問題。,收據有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4456,申请有问题。,申請有問題。,申請有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4536,附件有问题。,附件有問題。,附件有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4556,照片有问题。,照片有問題。,照片有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4575,名单有问题。,名單有問題。,名單有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4594,日程有问题。,日程有問題。,日程有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4613,地址有问题。,地址有問題。,地址有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4632,电话号码有问题。,電話號碼有問題。,電話號碼有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4670,密码有问题。,密碼有問題。,密碼有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4708,订单有问题。,訂單有問題。,訂單有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4727,项目进度有问题。,項目進度有問題。,項目進度有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-4746,工作安排有问题。,工作安排有問題。,工作安排有問題。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5056,我鼻塞。,我鼻塞。,我鼻塞。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5092,我呼吸困难。,我呼吸困難。,我呼吸困難。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5146,我牙痛。,我牙痛。,我牙痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5159,我手臂痛。,我手臂痛。,我手臂痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5177,我手腕痛。,我手腕痛。,我手腕痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5195,我手指痛。,我手指痛。,我手指痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5207,我胃痛。,我胃痛。,我胃痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5216,我腰痛。,我腰痛。,我腰痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5218,我血压高。,我血壓高。,我血壓高。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5224,我背痛。,我背痛。,我背痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5250,我流血。,我流血。,我流血。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5256,我脚痛。,我腳痛。,我腳痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5263,我皮肤痛。,我皮膚痛。,我皮膚痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5270,我心脏痛。,我心臟痛。,我心臟痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5284,我左边痛。,我左邊痛。,我左邊痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-5290,我右边痛。,我右邊痛。,我右邊痛。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
lexicon,LEX-0008,大家,大家,大家,source_s2t_equals_target,draft_curated,curated_v0.1
lexicon,LEX-0011,自己,自己,自己,source_s2t_equals_target,draft_curated,curated_v0.1
lexicon,LEX-0033,几个,幾個,幾個,source_s2t_equals_target,draft_curated,curated_v0.1
lexicon,LEX-0041,每个,每個,每個,source_s2t_equals_target,draft_curated,curated_v0.1
lexicon,LEX-0042,所有,所有,所有,source_s2t_equals_target,draft_curated,curated_v0.1
lexicon,LEX-0044,另外,另外,另外,source_s2t_equals_target,draft_curated,curated_v0.1
