id,source_pattern,target_pattern,source_patterns,target_patterns,slot_types,scene,intent,priority,transform_pipeline,constraints,identity_structure,example_source,example_target,notes,review_status,provenance
TPL-0015,{vp:VP}要多久？,{vp}要幾耐呀？,"[""{vp:VP}要多久？""]","[""{vp}要幾耐呀？""]","[""VP""]",general,duration_question,100,[],{},false,走路要多久？,行路要幾耐呀？,,draft_curated,curated_v0.1
TPL-0016,哪个{np:NP}比较好？,邊個{np}比較好呀？,"[""哪个{np:NP}比较好？""]","[""邊個{np}比較好呀？""]","[""NP""]",general,choice_question,95,[],{},false,哪个方案比较好？,邊個方案比較好呀？,,draft_curated,curated_v0.1
TPL-0017,你觉得{clause:CLAUSE}怎么样？,你覺得{clause}點呀？,"[""你觉得{clause:CLAUSE}怎么样？""]","[""你覺得{clause}點呀？""]","[""CLAUSE""]",general,opinion_question,90,[],{},false,你觉得这个方案怎么样？,你覺得呢個方案點呀？,,draft_curated,curated_v0.1
TPL-0018,可以{vp:VP}吗？,可唔可以{vp}呀？,"[""可以{vp:VP}吗？""]","[""可唔可以{vp}呀？""]","[""VP""]",general,permission_question,100,[],{},false,可以坐这里吗？,可唔可以坐呢度呀？,,draft_curated,curated_v0.1
TPL-0019,能不能{vp:VP}？,可唔可以{vp}呀？,"[""能不能{vp:VP}？""]","[""可唔可以{vp}呀？""]","[""VP""]",general,permission_question,100,[],{},false,能不能便宜一点？,可唔可以平啲呀？,,draft_curated,curated_v0.1
TPL-0020,你能不能{vp:VP}？,你可唔可以{vp}呀？,"[""你能不能{vp:VP}？""]","[""你可唔可以{vp}呀？""]","[""VP""]",general,request_question,100,[],{},false,你能不能帮我？,你可唔可以幫我呀？,,draft_curated,curated_v0.1
TPL-0021,你能帮我{vp:VP}吗？,你可唔可以幫我{vp}呀？,"[""你能帮我{vp:VP}吗？""]","[""你可唔可以幫我{vp}呀？""]","[""VP""]",general,request_question,100,[],{},false,你能帮我看一下吗？,你可唔可以幫我睇下呀？,,draft_curated,curated_v0.1
TPL-0022,请{vp:VP}。,唔該{vp}。,"[""请{vp:VP}。""]","[""唔該{vp}。""]","[""VP""]",general,polite_request,95,[],{},false,请等一下。,唔該等陣。,,draft_curated,curated_v0.1
TPL-0023,请帮我{vp:VP}。,唔該幫我{vp}。,"[""请帮我{vp:VP}。""]","[""唔該幫我{vp}。""]","[""VP""]",general,polite_request,100,[],{},false,请帮我叫车。,唔該幫我叫車。,,draft_curated,curated_v0.1
TPL-0024,麻烦你{vp:VP}。,唔該你{vp}。,"[""麻烦你{vp:VP}。""]","[""唔該你{vp}。""]","[""VP""]",general,polite_request,100,[],{},false,麻烦你再说一遍。,唔該你再講多次。,,draft_curated,curated_v0.1
TPL-0025,请给我{np:NP}。,唔該畀{np}我。,"[""请给我{np:NP}。""]","[""唔該畀{np}我。""]","[""NP""]",general,give_request,100,[],{},false,请给我一杯水。,唔該畀杯水我。,classifier_reduction_optional,draft_curated,curated_v0.1
TPL-0026,请把{np:NP}给我。,唔該將{np}畀我。,"[""请把{np:NP}给我。""]","[""唔該將{np}畀我。""]","[""NP""]",general,give_request,95,[],{},false,请把文件给我。,唔該將份文件畀我。,,draft_curated,curated_v0.1
TPL-0027,请把{np:NP}发给我。,唔該將{np}send畀我。,"[""请把{np:NP}发给我。""]","[""唔該將{np}send畀我。""]","[""NP""]",work,send_request,90,[],{},false,请把文件发给我。,唔該將份文件send畀我。,code_switch_hk,draft_curated,curated_v0.1
TPL-0028,请告诉我{clause:CLAUSE}。,唔該話我知{clause}。,"[""请告诉我{clause:CLAUSE}。""]","[""唔該話我知{clause}。""]","[""CLAUSE""]",general,tell_request,100,[],{},false,请告诉我什么时候到。,唔該話我知幾時到。,,draft_curated,curated_v0.1
TPL-0029,请再{vp:VP}一次。,唔該再{vp}多次。,"[""请再{vp:VP}一次。""]","[""唔該再{vp}多次。""]","[""VP""]",general,repeat_request,100,[],{},false,请再说一次。,唔該再講多次。,,draft_curated,curated_v0.1
TPL-0030,请{vp:VP}一点。,唔該{vp}啲。,"[""请{vp:VP}一点。""]","[""唔該{vp}啲。""]","[""VP""]",general,degree_request,95,[],{},false,请说慢一点。,唔該講慢啲。,,draft_curated,curated_v0.1
TPL-0031,我想{vp:VP}。,我想{vp}。,"[""我想{vp:VP}。""]","[""我想{vp}。""]","[""VP""]",general,desire,95,[],{},true,我想吃饭。,我想食飯。,,draft_curated,curated_v0.1
TPL-0032,我想要{np:NP}。,我想要{np}。,"[""我想要{np:NP}。""]","[""我想要{np}。""]","[""NP""]",general,desire,95,[],{},true,我想要这个。,我想要呢個。,,draft_curated,curated_v0.1
TPL-0033,我要{np:NP}。,我要{np}。,"[""我要{np:NP}。""]","[""我要{np}。""]","[""NP""]",general,request_item,100,[],{},true,我要一杯水。,我要一杯水。,,draft_curated,curated_v0.1
TPL-0034,我要去{place:PLACE}。,我要去{place}。,"[""我要去{place:PLACE}。""]","[""我要去{place}。""]","[""PLACE""]",transport,destination,100,[],{},true,我要去机场。,我要去機場。,,draft_curated,curated_v0.1
TPL-0035,我正在{vp:VP}。,我{vp}緊。,"[""我正在{vp:VP}。""]","[""我{vp}緊。""]","[""VP""]",general,progressive,100,"[{""type"":""aspect_after_head"",""slot"":""vp"",""marker"":""緊""}]",{},false,我正在吃饭。,我食緊飯。,,draft_curated,curated_v0.1
TPL-0036,{person:PERSON}正在{vp:VP}。,{person}{vp}緊。,"[""{person:PERSON}正在{vp:VP}。""]","[""{person}{vp}緊。""]","[""PERSON"",""VP""]",general,progressive,100,"[{""type"":""aspect_after_head"",""slot"":""vp"",""marker"":""緊""}]",{},false,他正在开会。,佢開緊會。,,draft_curated,curated_v0.1
TPL-0037,我已经{vp:VP}了。,我已經{vp}咗喇。,"[""我已经{vp:VP}了。""]","[""我已經{vp}咗喇。""]","[""VP""]",general,completed,100,"[{""type"":""aspect_after_head"",""slot"":""vp"",""marker"":""咗""}]",{},false,我已经到了。,我已經到咗喇。,,draft_curated,curated_v0.1
TPL-0038,{person:PERSON}已经{vp:VP}了。,{person}已經{vp}咗喇。,"[""{person:PERSON}已经{vp:VP}了。""]","[""{person}已經{vp}咗喇。""]","[""PERSON"",""VP""]",general,completed,95,"[{""type"":""aspect_after_head"",""slot"":""vp"",""marker"":""咗""}]",{},false,他已经走了。,佢已經走咗喇。,,draft_curated,curated_v0.1
TPL-0039,我还没有{vp:VP}。,我仲未{vp}。,"[""我还没有{vp:VP}。""]","[""我仲未{vp}。""]","[""VP""]",general,not_yet,100,[],{},false,我还没有吃饭。,我仲未食飯。,,draft_curated,curated_v0.1
TPL-0040,{person:PERSON}还没有{vp:VP}。,{person}仲未{vp}。,"[""{person:PERSON}还没有{vp:VP}。""]","[""{person}仲未{vp}。""]","[""PERSON"",""VP""]",general,not_yet,100,[],{},false,他还没有来。,佢仲未嚟。,,draft_curated,curated_v0.1
TPL-0041,我没有{np:NP}。,我冇{np}。,"[""我没有{np:NP}。""]","[""我冇{np}。""]","[""NP""]",general,nonexistence,100,[],{},false,我没有钱。,我冇錢。,,draft_curated,curated_v0.1
TPL-0042,{person:PERSON}没有{np:NP}。,{person}冇{np}。,"[""{person:PERSON}没有{np:NP}。""]","[""{person}冇{np}。""]","[""PERSON"",""NP""]",general,nonexistence,95,[],{},false,他没有时间。,佢冇時間。,,draft_curated,curated_v0.1
TPL-0043,我昨天没有{vp:VP}。,我尋日冇{vp}。,"[""我昨天没有{vp:VP}。""]","[""我尋日冇{vp}。""]","[""VP""]",general,past_negative,100,[],{},false,我昨天没有去。,我尋日冇去。,,draft_curated,curated_v0.1
TPL-0044,我不会{vp:VP}。,我唔識{vp}。,"[""我不会{vp:VP}。""]","[""我唔識{vp}。""]","[""VP""]",general,skill_negative,95,[],{},false,我不会说粤语。,我唔識講廣東話。,only_learned_skills,draft_curated,curated_v0.1
TPL-0045,我不能{vp:VP}。,我唔可以{vp}。,"[""我不能{vp:VP}。""]","[""我唔可以{vp}。""]","[""VP""]",general,permission_negative,95,[],{},false,我不能进去。,我唔可以入去。,permission_or_rule,draft_curated,curated_v0.1
TPL-0046,我做不到{vp:VP}。,我做唔到{vp}。,"[""我做不到{vp:VP}。""]","[""我做唔到{vp}。""]","[""VP""]",general,ability_negative,95,[],{},false,我做不到按时完成。,我做唔到準時完成。,,draft_curated,curated_v0.1
TPL-0047,我觉得{clause:CLAUSE}。,我覺得{clause}。,"[""我觉得{clause:CLAUSE}。""]","[""我覺得{clause}。""]","[""CLAUSE""]",general,opinion,90,[],{},false,我觉得这个很好。,我覺得呢個幾好。,,draft_curated,curated_v0.1
TPL-0048,我不知道{clause:CLAUSE}。,我唔知{clause}。,"[""我不知道{clause:CLAUSE}。""]","[""我唔知{clause}。""]","[""CLAUSE""]",general,knowledge_negative,100,[],{},false,我不知道他在哪里。,我唔知佢喺邊度。,,draft_curated,curated_v0.1
TPL-0049,我不明白{clause:CLAUSE}。,我唔明{clause}。,"[""我不明白{clause:CLAUSE}。""]","[""我唔明{clause}。""]","[""CLAUSE""]",general,understanding_negative,100,[],{},false,我不明白你说什么。,我唔明你講乜嘢。,,draft_curated,curated_v0.1
TPL-0050,我记得{clause:CLAUSE}。,我記得{clause}。,"[""我记得{clause:CLAUSE}。""]","[""我記得{clause}。""]","[""CLAUSE""]",general,memory,90,[],{},false,我记得他来过。,我記得佢嚟過。,,draft_curated,curated_v0.1
TPL-0051,我忘记{vp:VP}了。,我唔記得{vp}。,"[""我忘记{vp:VP}了。""]","[""我唔記得{vp}。""]","[""VP""]",general,memory_negative,90,[],{},false,我忘记带钥匙了。,我唔記得帶鎖匙。,,draft_curated,curated_v0.1
TPL-0052,我有点{adj:ADJ}。,我有啲{adj}。,"[""我有点{adj:ADJ}。""]","[""我有啲{adj}。""]","[""ADJ""]",general,degree,100,[],{},false,我有点累。,我有啲攰。,,draft_curated,curated_v0.1
TPL-0053,我很{adj:ADJ}。,我好{adj}。,"[""我很{adj:ADJ}。""]","[""我好{adj}。""]","[""ADJ""]",general,degree,100,[],{},false,我很累。,我好攰。,,draft_curated,curated_v0.1
TPL-0054,这个很{adj:ADJ}。,呢個好{adj}。,"[""这个很{adj:ADJ}。""]","[""呢個好{adj}。""]","[""ADJ""]",general,degree,100,[],{},false,这个很好看。,呢個好靚。,,draft_curated,curated_v0.1
TPL-0055,这个太{adj:ADJ}了。,呢個太{adj}喇。,"[""这个太{adj:ADJ}了。""]","[""呢個太{adj}喇。""]","[""ADJ""]",general,excessive_degree,100,[],{},false,这个太贵了。,呢個太貴喇。,,draft_curated,curated_v0.1
TPL-0056,有没有{adj:ADJ}一点的？,有冇{adj}啲㗎？,"[""有没有{adj:ADJ}一点的？""]","[""有冇{adj}啲㗎？""]","[""ADJ""]",shopping,comparative_request,100,[],{},false,有没有便宜一点的？,有冇平啲㗎？,,draft_curated,curated_v0.1
TPL-0057,比{np:NP}更{adj:ADJ}。,{adj}過{np}。,"[""比{np:NP}更{adj:ADJ}。""]","[""{adj}過{np}。""]","[""NP"",""ADJ""]",general,comparison,90,[],{},false,比那个更便宜。,平過嗰個。,,draft_curated,curated_v0.1
TPL-0058,{np1:NP}比{np2:NP}{adj:ADJ}。,{np1}{adj}過{np2}。,"[""{np1:NP}比{np2:NP}{adj:ADJ}。""]","[""{np1}{adj}過{np2}。""]","[""NP"",""ADJ""]",general,comparison,100,[],{},false,这个比那个贵。,呢個貴過嗰個。,,draft_curated,curated_v0.1
TPL-0059,越{adj1:ADJ}越{adj2:ADJ}。,越{adj1}越{adj2}。,"[""越{adj1:ADJ}越{adj2:ADJ}。""]","[""越{adj1}越{adj2}。""]","[""ADJ""]",general,correlative,80,[],{},true,越快越好。,越快越好。,passthrough_structure,draft_curated,curated_v0.1
TPL-0060,我们一起{vp:VP}吧。,我哋一齊{vp}啦。,"[""我们一起{vp:VP}吧。""]","[""我哋一齊{vp}啦。""]","[""VP""]",social,suggestion,100,[],{},false,我们一起吃饭吧。,我哋一齊食飯啦。,,draft_curated,curated_v0.1
TPL-0061,我们{time:TIME}见。,我哋{time}見。,"[""我们{time:TIME}见。""]","[""我哋{time}見。""]","[""TIME""]",social,arrangement,100,[],{},false,我们明天见。,我哋聽日見。,,draft_curated,curated_v0.1
TPL-0062,我们在{place:PLACE}见。,我哋喺{place}見。,"[""我们在{place:PLACE}见。""]","[""我哋喺{place}見。""]","[""PLACE""]",social,arrangement,100,[],{},false,我们在门口见。,我哋喺門口見。,,draft_curated,curated_v0.1
TPL-0064,我{time:TIME}到。,我{time}到。,"[""我{time:TIME}到。""]","[""我{time}到。""]","[""TIME""]",social,arrangement,90,[],{},true,我三点到。,我三點到。,,draft_curated,curated_v0.1
TPL-0065,到时候给我打电话。,到時打電話畀我。,"[""到时候给我打电话。""]","[""到時打電話畀我。""]",[],social,arrangement,100,[],{},false,到时候给我打电话。,到時打電話畀我。,,draft_curated,curated_v0.1
TPL-0066,你喜欢{np:NP}吗？,你鍾唔鍾意{np}呀？,"[""你喜欢{np:NP}吗？""]","[""你鍾唔鍾意{np}呀？""]","[""NP""]",social,preference_question,100,[],{},false,你喜欢这个吗？,你鍾唔鍾意呢個呀？,,draft_curated,curated_v0.1
TPL-0067,我喜欢{np:NP}。,我鍾意{np}。,"[""我喜欢{np:NP}。""]","[""我鍾意{np}。""]","[""NP""]",social,preference,100,[],{},false,我喜欢这个。,我鍾意呢個。,,draft_curated,curated_v0.1
TPL-0068,我不太喜欢{np:NP}。,我唔係幾鍾意{np}。,"[""我不太喜欢{np:NP}。""]","[""我唔係幾鍾意{np}。""]","[""NP""]",social,preference_negative,100,[],{},false,我不太喜欢这个。,我唔係幾鍾意呢個。,,draft_curated,curated_v0.1
TPL-0069,别{vp:VP}。,唔好{vp}。,"[""别{vp:VP}。""]","[""唔好{vp}。""]","[""VP""]",general,negative_imperative,100,[],{},false,别担心。,唔使擔心。,lexical_exception_may_override,draft_curated,curated_v0.1
TPL-0070,我要{number:NUMBER}{item:ITEM}。,我要{number}{item}。,"[""我要{number:NUMBER}{item:ITEM}。""]","[""我要{number}{item}。""]","[""NUMBER"",""ITEM""]",restaurant|shopping,order_item,100,[],{},true,我要两杯水。,我要兩杯水。,,draft_curated,curated_v0.1
TPL-0071,不要{item:ITEM}。,唔要{item}。,"[""不要{item:ITEM}。""]","[""唔要{item}。""]","[""ITEM""]",restaurant|shopping,reject_item,100,[],{},false,不要冰。,唔要冰。,,draft_curated,curated_v0.1
TPL-0072,少一点{item:ITEM}。,少啲{item}。,"[""少一点{item:ITEM}。""]","[""少啲{item}。""]","[""ITEM""]",restaurant,preference,95,[],{},false,少一点糖。,少啲糖。,lexical_phrase_can_override_to_少甜,draft_curated,curated_v0.1
TPL-0073,{item:ITEM}可以打包吗？,{item}可唔可以打包呀？,"[""{item:ITEM}可以打包吗？""]","[""{item}可唔可以打包呀？""]","[""ITEM""]",restaurant,takeaway,100,[],{},false,这个可以打包吗？,呢個可唔可以打包呀？,,draft_curated,curated_v0.1
TPL-0074,这里面有{item:ITEM}吗？,呢度入面有冇{item}呀？,"[""这里面有{item:ITEM}吗？""]","[""呢度入面有冇{item}呀？""]","[""ITEM""]",restaurant,allergy_question,100,[],{},false,这里面有花生吗？,呢度入面有冇花生呀？,,draft_curated,curated_v0.1
TPL-0075,我对{item:ITEM}过敏。,我對{item}敏感。,"[""我对{item:ITEM}过敏。""]","[""我對{item}敏感。""]","[""ITEM""]",medical|restaurant,allergy,100,[],{},false,我对花生过敏。,我對花生敏感。,,draft_curated,curated_v0.1
TPL-0076,有{color:ADJ}的吗？,有冇{color}㗎？,"[""有{color:ADJ}的吗？""]","[""有冇{color}㗎？""]","[""ADJ""]",shopping,color_choice,95,[],{},false,有黑色的吗？,有冇黑色㗎？,,draft_curated,curated_v0.1
TPL-0077,有{size:ADJ}一点的吗？,有冇{size}啲㗎？,"[""有{size:ADJ}一点的吗？""]","[""有冇{size}啲㗎？""]","[""ADJ""]",shopping,size_choice,100,[],{},false,有大一点的吗？,有冇大啲㗎？,,draft_curated,curated_v0.1
TPL-0078,我想换{np:NP}。,我想換{np}。,"[""我想换{np:NP}。""]","[""我想換{np}。""]","[""NP""]",shopping,exchange,100,[],{},false,我想换这个。,我想換呢個。,,draft_curated,curated_v0.1
TPL-0079,我想退{np:NP}。,我想退{np}。,"[""我想退{np:NP}。""]","[""我想退{np}。""]","[""NP""]",shopping,return,95,[],{},true,我想退这个。,我想退呢個。,,draft_curated,curated_v0.1
TPL-0080,请在{time:TIME}前{vp:VP}。,唔該喺{time}之前{vp}。,"[""请在{time:TIME}前{vp:VP}。""]","[""唔該喺{time}之前{vp}。""]","[""TIME"",""VP""]",work,deadline,95,[],{},false,请在明天前完成。,唔該喺聽日之前完成。,,draft_curated,curated_v0.1
TPL-0081,{np:NP}什么时候完成？,{np}幾時完成呀？,"[""{np:NP}什么时候完成？""]","[""{np}幾時完成呀？""]","[""NP""]",work,deadline_question,100,[],{},false,这个任务什么时候完成？,呢個任務幾時完成呀？,,draft_curated,curated_v0.1
TPL-0082,{np:NP}由谁负责？,{np}由邊個負責呀？,"[""{np:NP}由谁负责？""]","[""{np}由邊個負責呀？""]","[""NP""]",work,responsibility,100,[],{},false,这个项目由谁负责？,呢個項目由邊個負責呀？,,draft_curated,curated_v0.1
TPL-0083,我会尽快{vp:VP}。,我會盡快{vp}。,"[""我会尽快{vp:VP}。""]","[""我會盡快{vp}。""]","[""VP""]",work,commitment,95,[],{},false,我会尽快回复。,我會盡快覆。,,draft_curated,curated_v0.1
TPL-0084,我还需要{amount:NUMBER}时间。,我仲需要{amount}時間。,"[""我还需要{amount:NUMBER}时间。""]","[""我仲需要{amount}時間。""]","[""NUMBER""]",work,time_needed,95,[],{},false,我还需要一点时间。,我仲需要少少時間。,,draft_curated,curated_v0.1
TPL-0085,我们需要再{vp:VP}。,我哋需要再{vp}。,"[""我们需要再{vp:VP}。""]","[""我哋需要再{vp}。""]","[""VP""]",work,discussion,95,[],{},false,我们需要再讨论。,我哋需要再傾下。,,draft_curated,curated_v0.1
TPL-0086,我{body:NP}痛。,我{body}痛。,"[""我{body:NP}痛。""]","[""我{body}痛。""]","[""NP""]",medical,symptom,100,[],{},true,我头痛。,我頭痛。,,draft_curated,curated_v0.1
TPL-0087,我从{time:TIME}开始{symptom:VP}。,我由{time}開始{symptom}。,"[""我从{time:TIME}开始{symptom:VP}。""]","[""我由{time}開始{symptom}。""]","[""TIME"",""VP""]",medical,symptom_duration,95,[],{},false,我从昨天开始咳嗽。,我由尋日開始咳。,,draft_curated,curated_v0.1
TPL-0088,{symptom:VP}多久了？,{symptom}咗幾耐呀？,"[""{symptom:VP}多久了？""]","[""{symptom}咗幾耐呀？""]","[""VP""]",medical,symptom_duration,100,[],{},false,头痛多久了？,頭痛咗幾耐呀？,,draft_curated,curated_v0.1
TPL-0089,这个药一天吃{number:NUMBER}次。,呢隻藥一日食{number}次。,"[""这个药一天吃{number:NUMBER}次。""]","[""呢隻藥一日食{number}次。""]","[""NUMBER""]",medical,medicine_instruction,100,[],{},false,这个药一天吃三次。,呢隻藥一日食三次。,,draft_curated,curated_v0.1
TPL-0090,我有{condition:NP}。,我有{condition}。,"[""我有{condition:NP}。""]","[""我有{condition}。""]","[""NP""]",medical,medical_history,90,[],{},true,我有高血压。,我有高血壓。,,draft_curated,curated_v0.1
TPL-0091,请联系{person:PERSON}。,唔該聯絡{person}。,"[""请联系{person:PERSON}。""]","[""唔該聯絡{person}。""]","[""PERSON""]",medical,emergency_contact,100,[],{},false,请联系我的家人。,唔該聯絡我屋企人。,,draft_curated,curated_v0.1
FTPL-001,我想{daily_action:daily_action}。,我想{daily_action}。,"[""我想{daily_action:daily_action}。""]","[""我想{daily_action}。""]","[""daily_action""]",basic,want_action,90,[],"{""slot_mode"":""typed_closed_list"",""subject_role"":""unspecified""}",true,我想吃饭。,我想食飯。,Replaces expanded phrase frame 001; old rows=43.,generated_candidate,migrated_from_controlled_frame_v1.0
FTPL-002,我不想{daily_action:daily_action}。,我唔想{daily_action}。,"[""我不想{daily_action:daily_action}。""]","[""我唔想{daily_action}。""]","[""daily_action""]",basic,refuse_action,90,[],"{""slot_mode"":""typed_closed_list"",""subject_role"":""unspecified""}",false,我不想吃饭。,我唔想食飯。,Replaces expanded phrase frame 002; old rows=50.,generated_candidate,migrated_from_controlled_frame_v1.0
FTPL-003,你可以帮我{daily_action:daily_action}吗？,你可唔可以幫我{daily_action}呀？,"[""你可以帮我{daily_action:daily_action}吗？""]","[""你可唔可以幫我{daily_action}呀？""]","[""daily_action""]",basic,request_help,90,[],"{""slot_mode"":""typed_closed_list"",""subject_role"":""unspecified""}",false,你可以帮我吃饭吗？,你可唔可以幫我食飯呀？,Replaces expanded phrase frame 003; old rows=50.,generated_candidate,migrated_from_controlled_frame_v1.0
FTPL-004,请帮我{daily_action:daily_action}。,唔該幫我{daily_action}。,"[""请帮我{daily_action:daily_action}。""]","[""唔該幫我{daily_action}。""]","[""daily_action""]",basic,request_help,90,[],"{""slot_mode"":""typed_closed_list"",""subject_role"":""unspecified""}",false,请帮我吃饭。,唔該幫我食飯。,Replaces expanded phrase frame 004; old rows=50.,generated_candidate,migrated_from_controlled_frame_v1.0
FTPL-005,我还没有{daily_action:daily_action}。,我仲未{daily_action}。,"[""我还没有{daily_action:daily_action}。""]","[""我仲未{daily_action}。""]","[""daily_action""]",basic,not_yet,90,[],"{""slot_mode"":""typed_closed_list"",""subject_role"":""unspecified""}",false,我还没有吃饭。,我仲未食飯。,Replaces expanded phrase frame 005; old rows=49.,generated_candidate,migrated_from_controlled_frame_v1.0
FTPL-006,我已经{daily_action:daily_action}了。,我已經{daily_action}咗。,"[""我已经{daily_action:daily_action}了。""]","[""我已經{daily_action}咗。""]","[""daily_action""]",basic,completed,90,"[{""type"":""aspect_after_head"",""slot"":""daily_action"",""marker"":""咗""}]","{""slot_mode"":""typed_closed_list"",""subject_role"":""unspecified""}",false,我已经吃饭了。,我已經食咗飯。,Replaces expanded phrase frame 006; old rows=49.,generated_candidate,migrated_from_controlled_frame_v1.0
FTPL-007,我正在{daily_action:daily_action}。,我{daily_action}緊。,"[""我正在{daily_action:daily_action}。""]","[""我{daily_action}緊。""]","[""daily_action""]",basic,progressive,90,"[{""type"":""aspect_after_head"",""slot"":""daily_action"",""marker"":""緊""}]","{""slot_mode"":""typed_closed_list"",""subject_role"":""unspecified""}",false,我正在吃饭。,我食緊飯。,Replaces expanded phrase frame 007; old rows=50.,generated_candidate,migrated_from_controlled_frame_v1.0
FTPL-008,你为什么不{daily_action:daily_action}？,你點解唔{daily_action}呀？,"[""你为什么不{daily_action:daily_action}？""]","[""你點解唔{daily_action}呀？""]","[""daily_action""]",basic,why_negative,90,[],"{""slot_mode"":""typed_closed_list"",""subject_role"":""unspecified""}",false,你为什么不吃饭？,你點解唔食飯呀？,Replaces expanded phrase frame 008; old rows=50.,generated_candidate,migrated_from_controlled_frame_v1.0
FTPL-009,你什么时候{daily_action:daily_action}？,你幾時{daily_action}呀？,"[""你什么时候{daily_action:daily_action}？""]","[""你幾時{daily_action}呀？""]","[""daily_action""]",basic,when_question,90,[],"{""slot_mode"":""typed_closed_list"",""subject_role"":""unspecified""}",false,你什么时候吃饭？,你幾時食飯呀？,Replaces expanded phrase frame 009; old rows=50.,generated_candidate,migrated_from_controlled_frame_v1.0
FTPL-010,我们一起{daily_action:daily_action}吧。,我哋一齊{daily_action}啦。,"[""我们一起{daily_action:daily_action}吧。""]","[""我哋一齊{daily_action}啦。""]","[""daily_action""]",basic,suggestion,90,[],"{""slot_mode"":""typed_closed_list"",""subject_role"":""unspecified""}",false,我们一起吃饭吧。,我哋一齊食飯啦。,Replaces expanded phrase frame 010; old rows=49.,generated_candidate,migrated_from_controlled_frame_v1.0
