frame_id,template_id,scene,intent,source_pattern,target_pattern,slot_types,old_expanded_phrase_count,full_combination_capacity,template_added
FRAME-103,FTPL-103,work,document_problem,{document}有问题。,{document}有問題。,document,8,30,true
FRAME-104,FTPL-104,work,resend_document,请重新发送{document}。,唔該重新send{document}。,document,30,30,true
FRAME-105,FTPL-105,work,print_document,请把{document}打印出来。,唔該印{document}出嚟。,document,30,30,true
FRAME-106,FTPL-106,work,attachment,我把{document}放在附件里了。,我將{document}放咗喺附件。,document,30,30,true
FRAME-107,FTPL-107,work,task_today,我今天要{work_action}。,我今日要{work_action}。,work_action,40,40,true
FRAME-108,FTPL-108,work,task_tomorrow,我明天会{work_action}。,我聽日會{work_action}。,work_action,40,40,true
FRAME-109,FTPL-109,work,task_not_yet,我还没有{work_action}。,我仲未{work_action}。,work_action,40,40,true
FRAME-110,FTPL-110,work,task_done,我已经{work_action}了。,我已經{work_action}咗。,work_action,40,40,true
FRAME-111,FTPL-111,work,task_help,你可以帮我{work_action}吗？,你可唔可以幫我{work_action}呀？,work_action,40,40,true
FRAME-112,FTPL-112,work,task_when,我们什么时候{work_action}？,我哋幾時{work_action}呀？,work_action,40,40,true
FRAME-113,FTPL-113,work,task_why,为什么要{work_action}？,點解要{work_action}呀？,work_action,40,40,true
FRAME-114,FTPL-114,work,task_schedule,{time}方便{work_action}吗？,{time}方唔方便{work_action}呀？,"time,work_action",140,1000,true
FRAME-115,FTPL-115,work,deadline_request,请在{deadline_time}之前{work_action}。,唔該喺{deadline_time}之前{work_action}。,"deadline_time,work_action",120,400,true
FRAME-116,FTPL-116,work,completion_notice,{work_action}以后告诉我。,{work_action}之後話我知。,work_action,40,40,true
FRAME-117,FTPL-117,medical,pain,我{body}痛。,我{body}痛。,body,10,25,true
FRAME-118,FTPL-118,medical,discomfort,我的{body}不舒服。,我嘅{body}唔舒服。,body,25,25,true
FRAME-119,FTPL-119,medical,injury,我的{body}受伤了。,我嘅{body}整親咗。,body,25,25,true
FRAME-120,FTPL-120,medical,symptom,我{symptom}。,我{symptom}。,symptom,10,30,true
FRAME-121,FTPL-121,medical,symptom_duration,我{duration_symptom}{duration_simple}了。,我{duration_symptom}{duration_simple}喇。,"duration_symptom,duration_simple",90,210,true
FRAME-122,FTPL-122,medical,severity,{severity_symptom}严重吗？,{severity_symptom}嚴唔嚴重呀？,severity_symptom,26,26,true
FRAME-123,FTPL-123,medical,medicine_request,我需要治疗{treatable_symptom}的药。,我想要醫{treatable_symptom}嘅藥。,treatable_symptom,20,20,true
FRAME-124,FTPL-124,medical,dosage,这种{ingestible_medicine}怎么吃？,呢種{ingestible_medicine}點食呀？,ingestible_medicine,9,9,true
FRAME-125,FTPL-125,medical,frequency,{ingestible_medicine}一天吃几次？,{ingestible_medicine}一日食幾多次呀？,ingestible_medicine,9,9,true
FRAME-126,FTPL-126,medical,side_effect,吃{ingestible_medicine}会困吗？,食{ingestible_medicine}會唔會眼瞓呀？,ingestible_medicine,9,9,true
FRAME-127,FTPL-127,medical,drug_allergy,我对{ingestible_medicine}过敏。,我對{ingestible_medicine}敏感。,ingestible_medicine,9,9,true
FRAME-128,FTPL-128,medical,drug_question,我可以同时吃{ingestible_medicine}吗？,我可唔可以同時食{ingestible_medicine}呀？,ingestible_medicine,9,9,true
FRAME-129,FTPL-129,medical,missing_medicine,我没有带{ingestible_medicine}。,我冇帶{ingestible_medicine}。,ingestible_medicine,9,9,true
FRAME-130,FTPL-130,medical,buy_medicine,请帮我买{ingestible_medicine}。,唔該幫我買{ingestible_medicine}。,ingestible_medicine,9,9,true
FRAME-131,FTPL-131,medical,pharmacy,附近哪里可以买到{ingestible_medicine}？,附近邊度買到{ingestible_medicine}呀？,ingestible_medicine,9,9,true
FRAME-132,FTPL-132,medical,rest_duration,医生说我要休息{duration_simple}。,醫生話我要休息{duration_simple}。,duration_simple,10,10,true
FRAME-133,FTPL-133,medical,duration,这个症状持续了{duration_simple}。,呢個症狀持續咗{duration_simple}。,duration_simple,10,10,true
FRAME-134,FTPL-134,medical,medicine_history,我{past_time}吃过{ingestible_medicine}。,我{past_time}食過{ingestible_medicine}。,"past_time,ingestible_medicine",54,54,true
FRAME-135,FTPL-135,daily,person_progressive,{person}正在{daily_action}。,{person}{daily_action}緊。,"person,daily_action",130,750,true
FRAME-136,FTPL-136,daily,person_completed,{person}已经{daily_action}了。,{person}已經{daily_action}咗。,"person,daily_action",130,750,true
FRAME-137,FTPL-137,daily,person_not_yet,{person}还没有{daily_action}。,{person}仲未{daily_action}。,"person,daily_action",130,750,true
FRAME-138,FTPL-138,daily,preference,{person}喜欢{daily_action}。,{person}鍾意{daily_action}。,"person,daily_action",140,750,true
FRAME-139,FTPL-139,daily,dislike,{person}不喜欢{daily_action}。,{person}唔鍾意{daily_action}。,"person,daily_action",140,750,true
FRAME-140,FTPL-140,daily,invitation,你要不要和{leisure_person}一起{social_action}？,你要唔要同{leisure_person}一齊{social_action}呀？,"leisure_person,social_action",60,60,true
FRAME-141,FTPL-141,daily,plan,{time}一起{daily_action}好吗？,{time}一齊{daily_action}好唔好呀？,"time,daily_action",140,1250,true
FRAME-142,FTPL-142,daily,meet,我想和{person_social}在{place_local}见面。,我想同{person_social}喺{place_local}見面。,"person_social,place_local",120,240,true
FRAME-143,FTPL-143,daily,waiting,{person_social}在{place_local}等我。,{person_social}喺{place_local}等我。,"person_social,place_local",120,240,true
FRAME-144,FTPL-144,daily,item_placed,我把{storage_item}放在{place_local}了。,我將{storage_item}放咗喺{place_local}。,"storage_item,place_local",140,504,true
FRAME-145,FTPL-145,daily,move_item,请把{storage_item}拿到{place_local}。,唔該將{storage_item}攞去{place_local}。,"storage_item,place_local",140,504,true
FRAME-146,FTPL-146,daily,forgot_item,我忘了带{item}。,我唔記得帶{item}。,item,50,50,true
FRAME-147,FTPL-147,daily,find_item,你有没有看到我的{item}？,你有冇見到我嘅{item}呀？,item,50,50,true
FRAME-148,FTPL-148,daily,ownership_question,这个{item}是谁的？,呢個{item}係邊個㗎？,item,50,50,true
FRAME-149,FTPL-149,daily,broken_item,{item}坏了。,{item}壞咗。,item,49,50,true
FRAME-150,FTPL-150,daily,battery_empty,{battery_item}没有电了。,{battery_item}冇電喇。,battery_item,7,7,true
FRAME-151,FTPL-151,daily,charge_item,我需要给{battery_item}充电。,我要幫{battery_item}叉電。,battery_item,7,7,true
FRAME-152,FTPL-152,daily,repair_item,请帮我修一下{item}。,唔該幫我整下{item}。,item,50,50,true
